season,year,has_schedule,game_count,games_with_uuids,earliest_game_date,latest_game_date,tested_at,error
2015-2016,2015,False,0,0,,,2025-11-15T20:35:37.305427,
2016-2017,2016,False,0,0,,,2025-11-15T20:35:38.240913,
2017-2018,2017,False,0,0,,,2025-11-15T20:35:39.045162,
2018-2019,2018,False,0,0,,,2025-11-15T20:35:39.701313,
2019-2020,2019,False,0,0,,,2025-11-15T20:35:40.506244,
2020-2021,2020,False,0,0,,,2025-11-15T20:35:41.165104,
2021-2022,2021,False,0,0,,,2025-11-15T20:35:42.178980,
2022-2023,2022,False,0,0,,,2025-11-15T20:35:43.194543,
2023-2024,2023,False,0,0,,,2025-11-15T20:35:44.040213,
2024-2025,2024,True,8,8,2025-11-14T00:00:00,2025-11-16T00:00:00,2025-11-15T20:35:45.135401,
2025-2026,2025,False,0,0,,,2025-11-15T20:35:46.549014,Request failed for /match/getCalenderByDivision: HTTPError('404 Client Error: Not Found for url: https://api-prod.lnb.fr/match/getCalenderByDivision?division_external_id=1&year=2026')
